Id,Type,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,aux_date_col
123,1,Finland,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,16-05-2021
124,1,France,10,10,10,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,17-05-2021
128,1,Gabon,380,370,361,356,354,348,340,336,332,324,314,304,292,277,267,261,256,252,18-05-2021
129,1,Gambia,932,905,876,843,802,756,716,690,675,668,661,656,650,644,637,625,611,597,19-05-2021
130,1,Georgia,31,33,42,37,38,39,33,36,39,43,32,32,30,30,29,27,26,25,20-05-2021
131,1,Germany,7,7,7,6,6,6,6,6,6,6,6,6,5,5,5,5,5,7,21-05-2021
132,1,Ghana,484,445,415,398,384,371,359,349,342,339,339,339,336,331,325,320,314,308,22-05-2021
134,1,Greece,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,23-05-2021
136,1,Grenada,38,36,34,34,38,33,31,31,30,30,29,28,28,27,26,25,25,25,24-05-2021
139,1,Guatemala,161,147,145,137,137,142,137,132,125,131,129,122,118,113,107,103,98,95,25-05-2021
141,1,Guinea,1020,1070,1090,1080,1020,920,831,772,754,750,747,748,744,731,767,699,621,576,26-05-2021
142,1,Guinea-Bissau,1210,1180,1150,1110,1050,979,912,860,827,800,779,762,744,726,711,694,679,667,27-05-2021
143,1,Guyana,231,216,227,226,220,223,221,208,192,185,179,180,185,175,174,172,170,169,28-05-2021
144,1,Haiti,437,437,441,446,513,459,467,473,484,484,506,496,500,496,492,488,489,480,29-05-2021
147,1,Honduras,85,83,80,78,77,77,77,77,76,75,74,72,70,69,68,67,65,65,30-05-2021
149,1,Hungary,16,15,16,15,15,15,14,15,14,13,13,13,12,12,12,12,12,12,31-05-2021
150,1,Iceland,6,6,6,6,6,5,5,5,5,5,5,5,4,4,5,4,4,4,01-06-2021
151,1,India,370,354,336,319,303,286,270,255,240,225,210,197,185,175,166,158,150,145,02-06-2021
152,1,Indonesia,272,269,265,261,264,252,249,243,239,234,228,221,214,207,199,192,184,177,03-06-2021
153,1,Iran (Islamic Republic of),48,44,41,39,36,34,32,30,28,25,22,19,18,17,17,17,16,16,04-06-2021
154,1,Iraq,79,76,74,136,122,127,158,138,90,75,70,67,66,75,92,83,78,79,05-06-2021
155,1,Ireland,7,7,6,6,6,7,6,6,7,7,6,7,6,6,6,6,6,5,06-06-2021
157,1,Israel,7,7,7,6,6,5,5,5,4,4,4,4,4,4,4,3,3,3,07-06-2021
158,1,Italy,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,08-06-2021
159,1,Jamaica,77,79,78,79,80,80,79,79,79,79,79,79,79,79,78,78,80,80,09-06-2021
160,1,Japan,9,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,10-06-2021
162,1,Jordan,70,68,65,63,62,62,58,56,55,54,53,52,52,51,49,48,47,46,11-06-2021
163,1,Kazakhstan,61,57,52,49,46,43,40,36,30,24,22,19,17,14,13,12,10,10,12-06-2021
164,1,Kenya,708,702,692,678,653,618,583,545,513,472,432,398,373,364,358,353,346,342,13-06-2021
165,1,Kiribati,136,131,127,124,121,119,117,115,115,113,112,110,107,104,100,97,94,92,14-06-2021
168,1,Kuwait,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,12,12,15-06-2021
169,1,Kyrgyzstan,79,76,83,82,79,82,85,84,81,80,79,79,74,70,69,66,63,60,16-06-2021
170,1,Lao People's Democratic Republic,544,517,491,465,437,410,385,360,336,314,292,272,254,238,223,209,196,185,17-06-2021
171,1,Latvia,34,35,33,34,32,30,32,32,29,28,26,26,23,27,24,23,26,19,18-06-2021
172,1,Lebanon,28,27,26,25,24,24,24,23,23,23,23,25,25,27,28,29,29,29,19-06-2021
173,1,Lesotho,614,633,653,671,680,679,668,652,623,607,594,585,586,583,579,574,559,544,20-06-2021
174,1,Liberia,894,913,1010,878,837,816,782,754,738,724,708,694,683,674,688,691,661,661,21-06-2021
175,1,State of Libya,70,68,66,64,61,57,55,53,52,53,53,56,55,58,63,70,73,72,22-06-2021
177,1,Lithuania,17,16,14,14,13,14,14,14,13,11,10,10,10,10,9,9,8,8,23-06-2021
178,1,Luxembourg,10,10,9,8,8,9,9,8,6,7,8,8,7,6,6,5,5,5,24-06-2021
180,1,Madagascar,559,552,547,543,539,526,513,503,491,474,453,432,413,394,378,363,348,335,25-06-2021
181,1,Malawi,749,735,714,687,654,610,566,526,493,466,444,428,413,396,381,370,358,349,26-06-2021
182,1,Malaysia,38,36,34,33,32,31,30,30,29,29,30,30,30,30,30,30,29,29,27-06-2021
